rent,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,roof,concierge,pool,elevator,garage,latitude,longitude,dishwasher,dist_transit,dist_wall_street,dist_waterfront,pets_allowed,beds_times_baths
2290.0,500.0,0,0,0,1,0,0,0,0,0,40.74761,-73.97421,0,0.22849414613915062,3.33687140992154,0.004532032258330296,1,1.0
2759.0,725.0,0,0,0,0,0,0,0,1,0,40.825,-73.94862,0,0.12428265522779527,8.718797928091178,0.006425155746053157,1,3.0
4995.0,1000.0,0,0,0,1,0,0,0,0,0,40.75898,-73.96183,0,0.30574417298224427,4.352060950410573,0.0027706948586737456,1,3.0
5550.0,983.0,1,1,0,1,0,0,0,1,1,40.79445,-73.96973,1,0.1212240622285499,6.354176340408627,0.007658208041579518,1,4.0
5700.0,983.0,1,1,0,1,0,0,0,1,1,40.79445,-73.96973,1,0.1212240622285499,6.354176340408627,0.007658208041579518,1,4.0
4300.0,706.0,1,1,0,1,0,0,0,1,1,40.79445,-73.96973,1,0.1212240622285499,6.354176340408627,0.007658208041579518,1,1.0
4300.0,706.0,1,1,0,1,0,0,0,1,1,40.79445,-73.96973,1,0.1212240622285499,6.354176340408627,0.007658208041579518,1,1.0
3400.0,469.0,1,1,0,1,0,0,0,1,1,40.79445,-73.96973,1,0.1212240622285499,6.354176340408627,0.007658208041579518,1,0.0
3400.0,469.0,1,1,0,1,0,0,0,1,1,40.79445,-73.96973,1,0.1212240622285499,6.354176340408627,0.007658208041579518,1,0.0
4400.0,732.0,1,1,0,1,0,0,0,1,1,40.79445,-73.96973,1,0.1212240622285499,6.354176340408627,0.007658208041579518,1,1.0
5795.0,1000.0,0,1,1,1,0,0,0,0,0,40.7178,-73.99802,1,0.11625314773738743,0.9424599554338196,0.009074973912165421,0,3.0
3200.0,650.0,0,0,0,0,0,0,0,0,0,40.81514,-73.95962,1,0.04309282358205627,7.878241482387793,0.0037793861673702995,1,7.5
12000.0,1350.0,1,0,1,1,0,1,0,0,1,40.76706,-73.98408,0,0.0413556027166051,4.320381736892595,0.01138250821819276,1,4.0
5495.0,950.0,0,0,0,1,0,0,0,1,0,40.74518,-73.9845,1,0.10968571644820863,2.9153543768204297,0.012847880249803347,1,3.0
3595.0,750.0,0,0,0,1,0,0,0,1,0,40.74518,-73.9845,1,0.10968571644820863,2.9153543768204297,0.012847880249803347,1,2.0
3950.0,800.0,0,0,1,0,0,0,0,0,0,40.71928,-73.98481,1,0.1379481946054468,1.5491452993116042,0.009722590387102954,1,2.0
4179.0,600.0,0,0,1,0,0,0,0,0,0,40.71928,-73.98481,1,0.1379481946054468,1.5491452993116042,0.009722590387102954,1,2.0
5995.0,700.0,0,0,1,0,0,0,0,0,0,40.71928,-73.98481,1,0.1379481946054468,1.5491452993116042,0.009722590387102954,1,2.0
4800.0,810.0,0,0,0,1,0,0,0,1,0,40.75912,-73.96428,1,0.22047413675487457,4.28674704672751,0.004762416061044442,0,1.0
2400.0,515.0,0,1,1,1,0,0,0,0,0,40.84211,-73.93682,1,0.11991496117349952,10.046218900504275,0.004970443221186752,0,1.0
3200.0,300.0,0,0,0,0,0,0,0,0,0,40.74512,-73.98405,0,0.08976806715859856,2.922627954644682,0.012394737008635005,0,2.0
3500.0,450.0,0,0,0,0,0,0,0,0,0,40.74512,-73.98405,0,0.08976806715859856,2.922627954644682,0.012394737008635005,0,4.0
4500.0,725.0,1,0,0,1,0,1,0,0,1,40.70792,-74.01724,0,0.17909445230146417,0.3705706941552802,0.0009553708395961978,1,1.0
1299.0,216.0,0,1,0,1,0,0,0,0,0,40.72236,-73.99908,0,0.08605969338379581,1.1653431367666858,0.01301942853317171,0,0.0
1249.0,221.0,0,1,0,1,0,0,0,0,0,40.72236,-73.99908,0,0.08605969338379581,1.1653431367666858,0.01301942853317171,0,0.0
1499.0,299.0,0,1,0,1,0,0,0,0,0,40.72236,-73.99908,0,0.08605969338379581,1.1653431367666858,0.01301942853317171,0,0.0
1199.0,165.0,0,1,0,1,0,0,0,0,0,40.72236,-73.99908,0,0.08605969338379581,1.1653431367666858,0.01301942853317171,0,0.0
1199.0,173.0,0,1,0,1,0,0,0,0,0,40.72236,-73.99908,0,0.08605969338379581,1.1653431367666858,0.01301942853317171,0,0.0
1199.0,176.0,0,1,0,1,0,0,0,0,0,40.72236,-73.99908,0,0.08605969338379581,1.1653431367666858,0.01301942853317171,0,0.0
1699.0,303.0,0,1,0,1,0,0,0,0,0,40.72236,-73.99908,0,0.08605969338379581,1.1653431367666858,0.01301942853317171,0,0.0
1829.0,402.0,0,1,0,1,0,0,0,0,0,40.72236,-73.99908,0,0.08605969338379581,1.1653431367666858,0.01301942853317171,0,0.0
1699.0,294.0,0,1,0,1,0,0,0,0,0,40.72236,-73.99908,0,0.08605969338379581,1.1653431367666858,0.01301942853317171,0,0.0
1899.0,461.0,0,1,0,1,0,0,0,0,0,40.72236,-73.99908,0,0.08605969338379581,1.1653431367666858,0.01301942853317171,0,0.0
2199.0,466.0,0,1,0,1,0,0,0,0,0,40.72236,-73.99908,0,0.08605969338379581,1.1653431367666858,0.01301942853317171,0,0.0
3200.0,500.0,0,1,0,1,0,1,0,1,0,40.76466,-73.9763,1,0.028517598516854672,4.314214930831392,0.017272010271905863,0,0.0
3200.0,500.0,0,1,0,1,0,1,0,1,0,40.76466,-73.9763,1,0.028517598516854672,4.314214930831392,0.017272010271905863,0,0.0
5100.0,650.0,0,1,1,0,0,0,0,0,1,40.76093,-73.9987,1,0.42759537599900427,3.7239935347596593,0.002763878765142735,1,1.0
3550.0,1000.0,0,1,0,1,0,0,0,1,0,40.793,-73.97512,1,0.1019077825456972,6.170127994432603,0.004081653537518499,1,1.0
2525.0,675.0,1,0,1,0,0,0,0,1,0,40.80621,-73.94557,1,0.09261611122822526,7.597532708981348,0.011707723942499639,1,4.0
