stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,stop_timezone
1108,Westlake Station,47.611450,-122.337532,C03-T1,"Westlake Station - 4th Ave & Pine St Seattle, WA 98101",21,https://www.soundtransit.org/ride-with-us/stops-stations/westlake-station,America/Los_Angeles
1121,Westlake Station,47.611759,-122.335785,C03-T2,"Westlake Station - 4th Ave & Pine St Seattle, WA 98101",21,https://www.soundtransit.org/ride-with-us/stops-stations/westlake-station,America/Los_Angeles
455,University St Station,47.607246,-122.335754,C05-T1,"University Street Station - 3rd Ave & Seneca St Seattle, WA 98101",21,https://www.soundtransit.org/ride-with-us/stops-stations/university-street-station,America/Los_Angeles
501,Pioneer Square Station,47.602139,-122.331055,C07-T1,"Pioneer Square Station - 3rd Ave & James St Seattle, WA 98104",21,https://www.soundtransit.org/ride-with-us/stops-stations/pioneer-square-station,America/Los_Angeles
532,Pioneer Square Station,47.603199,-122.331581,C07-T2,"Pioneer Square Station - 3rd Ave & James St Seattle, WA 98104",21,https://www.soundtransit.org/ride-with-us/stops-stations/pioneer-square-station,America/Los_Angeles
55578,Rainier Beach Station,47.522953,-122.279083,C29-T2,"Rainier Beach Station - 9132 Martin Luther King Jr Way S Seattle, WA 98118",78,https://www.soundtransit.org/ride-with-us/stops-stations/rainier-beach-station,America/Los_Angeles
55656,Othello Station,47.538502,-122.281693,C27-T2,"Othello Station - 7100 Martin Luther King Jr Way S Seattle, WA 98118",77,https://www.soundtransit.org/ride-with-us/stops-stations/othello-station,America/Los_Angeles
55778,Columbia City Station,47.560280,-122.292892,C25-T2,"Columbia City Station - 4818 Martin Luther King Jr Way S Seattle, WA 98108",76,https://www.soundtransit.org/ride-with-us/stops-stations/columbia-city-station,America/Los_Angeles
55860,Mount Baker Station,47.576992,-122.297867,C23-T2,"Mount Baker Station & Transit Center - Rainier Ave S & S Forest St Seattle, WA 98144",75,https://www.soundtransit.org/ride-with-us/stops-stations/mount-baker-station-transit-center,America/Los_Angeles
55949,Mount Baker Station,47.576439,-122.297737,C23-T1,"Mount Baker Station & Transit Center - Rainier Ave S & S Forest St Seattle, WA 98144",75,https://www.soundtransit.org/ride-with-us/stops-stations/mount-baker-station-transit-center,America/Los_Angeles
56039,Columbia City Station,47.559025,-122.292389,C25-T1,"Columbia City Station - 4818 Martin Luther King Jr Way S Seattle, WA 98108",76,https://www.soundtransit.org/ride-with-us/stops-stations/columbia-city-station,America/Los_Angeles
56159,Othello Station,47.537529,-122.281471,C27-T1,"Othello Station - 7100 Martin Luther King Jr Way S Seattle, WA 98118",77,https://www.soundtransit.org/ride-with-us/stops-stations/othello-station,America/Los_Angeles
56173,Rainier Beach Station,47.522266,-122.279587,C29-T1,"Rainier Beach Station - 9132 Martin Luther King Jr Way S Seattle, WA 98118",78,https://www.soundtransit.org/ride-with-us/stops-stations/rainier-beach-station,America/Los_Angeles
565,University St Station,47.608246,-122.336166,C05-T2,"University Street Station - 3rd Ave & Seneca St Seattle, WA 98101",21,https://www.soundtransit.org/ride-with-us/stops-stations/university-street-station,America/Los_Angeles
621,Int'l Dist/Chinatown Station,47.598438,-122.327820,C09-T2,"International District/Chinatown Station - 5th Ave and S Jackson St Seattle, WA 98104",71,https://www.soundtransit.org/ride-with-us/stops-stations/international-district-chinatown-station,America/Los_Angeles
623,Int'l Dist/Chinatown Station,47.597660,-122.328217,C09-T1,"International District/Chinatown Station - 5th Ave and S Jackson St Seattle, WA 98104",71,https://www.soundtransit.org/ride-with-us/stops-stations/international-district-chinatown-station,America/Los_Angeles
990001,U District Station,47.659875,-122.314194,N07-T1,U District Station - 4300 Brooklyn Ave NE,,https://www.soundtransit.org/ride-with-us/stops-stations/u-district-station,America/Los_Angeles
990002,U District Station,47.660749,-122.314067,N07-T2,U District Station - 4300 Brooklyn Ave NE,,https://www.soundtransit.org/ride-with-us/stops-stations/u-district-station,America/Los_Angeles
990003,Roosevelt Station,47.676107,-122.316041,N09-T1,Roosevelt Station - 6501 12th Ave NE,,https://www.soundtransit.org/ride-with-us/stops-stations/roosevelt-station,America/Los_Angeles
990004,Roosevelt Station,47.677081,-122.315928,N09-T2,Roosevelt Station - 6501 12th Ave NE,,https://www.soundtransit.org/ride-with-us/stops-stations/roosevelt-station,America/Los_Angeles
990005,Northgate Station,47.702662,-122.328320,N11-T1,Northgate Station - 10200 1st Ave NE,,https://www.soundtransit.org/ride-with-us/stops-stations/northgate-station,America/Los_Angeles
990006,Northgate Station,47.703414,-122.328244,N11-T2,Northgate Station - 10200 1st Ave NE,,https://www.soundtransit.org/ride-with-us/stops-stations/northgate-station,America/Los_Angeles
99101,Stadium Station,47.591824,-122.327354,C13-T1,"Stadium Station - 501 S Royal Brougham Way Seattle, WA 98134",72,https://www.soundtransit.org/ride-with-us/stops-stations/stadium-station,America/Los_Angeles
99111,SODO Station,47.579952,-122.327522,C15-T1,"SODO Station - 500 S Lander St Seattle, WA 98134",73,https://www.soundtransit.org/ride-with-us/stops-stations/sodo-station,America/Los_Angeles
99121,Beacon Hill Station,47.579124,-122.311279,C19-T1,"Beacon Hill Station - 2702 Beacon Ave S Seattle, WA 98144",74,https://www.soundtransit.org/ride-with-us/stops-stations/beacon-hill-station,America/Los_Angeles
99240,Beacon Hill Station,47.579678,-122.311401,C19-T2,"Beacon Hill Station - 2702 Beacon Ave S Seattle, WA 98144",74,https://www.soundtransit.org/ride-with-us/stops-stations/beacon-hill-station,America/Los_Angeles
99256,SODO Station,47.580589,-122.327263,C15-T2,"SODO Station - 500 S Lander St Seattle, WA 98134",73,https://www.soundtransit.org/ride-with-us/stops-stations/sodo-station,America/Los_Angeles
99260,Stadium Station,47.592285,-122.326988,C13-T2,"Stadium Station - 501 S Royal Brougham Way Seattle, WA 98134",72,https://www.soundtransit.org/ride-with-us/stops-stations/stadium-station,America/Los_Angeles
99603,Capitol Hill Station,47.619621,-122.320038,N03-T2,"Capitol Hill Station - 140 Broadway E Seattle, WA 98102",82,https://www.soundtransit.org/ride-with-us/stops-stations/capitol-hill-station,America/Los_Angeles
99604,Univ of Washington Station,47.649349,-122.303795,N05-T1,"University of Washington Station - 3720 Montlake Blvd NE Seattle, WA 98195",81,https://www.soundtransit.org/ride-with-us/stops-stations/university-washington-station,America/Los_Angeles
99605,Univ of Washington Station,47.650312,-122.303736,N05-T2,"University of Washington Station - 3720 Montlake Blvd NE Seattle, WA 98195",81,https://www.soundtransit.org/ride-with-us/stops-stations/university-washington-station,America/Los_Angeles
99610,Capitol Hill Station,47.619560,-122.320389,N03-T1,"Capitol Hill Station - 140 Broadway E Seattle, WA 98102",82,https://www.soundtransit.org/ride-with-us/stops-stations/capitol-hill-station,America/Los_Angeles
99900,Tukwila Int'l Blvd Station,47.464272,-122.288399,C35-T1,"Tukwila International Boulevard Station - 3651 Southcenter Blvd Tukwila, WA 98188",79,https://www.soundtransit.org/ride-with-us/stops-stations/tukwila-international-boulevard-station,America/Los_Angeles
99903,SeaTac/Airport Station,47.445053,-122.296692,C37-T2,"SeaTac/Airport Station - International Blvd & S 176th St Seattle, WA 98188",80,https://www.soundtransit.org/ride-with-us/stops-stations/seatac-airport-station,America/Los_Angeles
99904,SeaTac/Airport Station,47.444969,-122.297028,C37-T1,"SeaTac/Airport Station - International Blvd & S 176th St Seattle, WA 98188",80,https://www.soundtransit.org/ride-with-us/stops-stations/seatac-airport-station,America/Los_Angeles
99905,Tukwila Int'l Blvd Station,47.463924,-122.288002,C35-T2,"Tukwila International Boulevard Station - 3651 Southcenter Blvd Tukwila, WA 98188",79,https://www.soundtransit.org/ride-with-us/stops-stations/tukwila-international-boulevard-station,America/Los_Angeles
99913,Angle Lake Station,47.423122,-122.297615,S01-T1,"Angle Lake Station - 19955 28th Ave S SeaTac, WA 98188",24,https://www.soundtransit.org/ride-with-us/stops-stations/angle-lake-station,America/Los_Angeles
99914,Angle Lake Station,47.422154,-122.297958,S01-T2,"Angle Lake Station - 19955 28th Ave S SeaTac, WA 98188",83,https://www.soundtransit.org/ride-with-us/stops-stations/angle-lake-station,America/Los_Angeles
S_AU_NB,Auburn Station (Northbound),47.306299,-122.232137,,Auburn Station - 23 A Street SW,S_AU,https://www.soundtransit.org/ride-with-us/stops-stations/auburn-station,America/Los_Angeles
S_AU_SB,Auburn Station (Southbound),47.306299,-122.232375,,Auburn Station - 23 A Street SW,S_AU,https://www.soundtransit.org/ride-with-us/stops-stations/auburn-station,America/Los_Angeles
S_ED,Edmonds Station,47.811152,-122.384373,,Edmonds Station - 170 Railroad Avenue,S_ED,https://www.soundtransit.org/ride-with-us/stops-stations/edmonds-station,America/Los_Angeles
