rent,beds,baths,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,car_charging,roof,concierge,pool,garage,income_restrictions,dist_seattle,dist_transit,pets_allowed,zipcode_cluster
7.506591780070841,1,1.0,6.234410725718371,1,0,1,0,0,1,0,0,1,0,5.0484820452426655,0.0297160665779401,1,2
7.51479976048867,1,1.0,6.234410725718371,1,0,1,0,0,1,0,0,1,0,5.0484820452426655,0.0297160665779401,1,2
7.506591780070841,1,1.0,6.234410725718371,1,0,1,0,0,1,0,0,1,0,5.0484820452426655,0.0297160665779401,1,2
7.509335266016592,1,1.0,6.340359303727752,1,0,1,0,0,1,0,0,1,0,5.0484820452426655,0.0297160665779401,1,2
7.855932199718614,1,1.0,6.881411303642535,1,0,1,0,0,1,0,0,1,0,5.0484820452426655,0.0297160665779401,1,2
7.962763930168115,1,1.0,7.003065458786462,1,0,1,0,0,1,0,0,1,0,5.0484820452426655,0.0297160665779401,1,2
7.7651449029361315,1,1.0,6.5722825426940075,1,0,1,0,0,1,0,0,1,0,5.0484820452426655,0.0297160665779401,1,2
8.07402621612406,2,2.0,7.010311867307229,1,0,1,0,0,1,0,0,1,0,5.0484820452426655,0.0297160665779401,1,2
8.065265208897733,2,2.0,6.769641976852503,1,0,1,0,0,1,0,0,1,0,5.0484820452426655,0.0297160665779401,1,2
7.346010209913293,0,1.0,6.077642243349034,0,0,1,0,0,0,1,0,0,0,1.824930024016418,0.0631781132102877,1,1
8.100161446936607,3,2.0,7.069023426578259,0,0,1,0,0,0,1,0,0,0,1.824930024016418,0.0631781132102877,1,1
7.346010209913293,0,1.0,6.077642243349034,0,0,1,0,0,0,1,0,0,0,1.824930024016418,0.0631781132102877,1,1
8.100161446936607,3,2.0,7.069023426578259,0,0,1,0,0,0,1,0,0,0,1.824930024016418,0.0631781132102877,1,1
7.405495663199472,1,1.0,6.633318433280377,1,0,1,0,0,0,0,0,1,0,8.730376730182565,0.0664240162906523,1,6
7.552237287560802,2,1.0,6.856461984594587,1,0,1,0,0,0,0,0,1,0,8.730376730182565,0.0664240162906523,1,6
7.405495663199472,1,1.0,6.633318433280377,1,0,1,0,0,0,0,0,1,0,8.730376730182565,0.0664240162906523,1,6
7.552237287560802,2,1.0,6.856461984594587,1,0,1,0,0,0,0,0,1,0,8.730376730182565,0.0664240162906523,1,6
6.745236349484363,1,1.0,6.152732694704104,0,1,1,0,0,0,0,0,0,0,6.653174752617068,0.0365789914361167,0,2
7.4645098346365275,1,1.0,6.210600077024653,1,1,1,0,1,1,0,1,1,0,3.5896598830376303,0.0419353068565038,1,1
7.474204806496124,1,1.0,6.38856140554563,1,1,1,0,1,1,0,1,1,0,3.5896598830376303,0.0419353068565038,1,1
7.498315870766981,1,1.0,6.559615237493242,1,1,1,0,1,1,0,1,1,0,3.5896598830376303,0.0419353068565038,1,1
7.541683099882111,1,1.0,6.452048954437226,1,1,1,0,1,1,0,1,1,0,3.5896598830376303,0.0419353068565038,1,1
7.687080155783135,1,1.0,6.723832440821209,1,1,1,0,1,1,0,1,1,0,3.5896598830376303,0.0419353068565038,1,1
7.729735331385051,1,1.0,6.723832440821209,1,1,1,0,1,1,0,1,1,0,3.5896598830376303,0.0419353068565038,1,1
7.635303886259415,1,1.0,6.593044534142437,1,1,1,0,1,1,0,1,1,0,3.5896598830376303,0.0419353068565038,1,1
7.532623618788788,1,1.0,6.6895992691789665,1,1,1,0,1,1,0,1,1,0,3.5896598830376303,0.0419353068565038,1,1
7.3098814858247865,1,1.0,6.659293919683638,0,0,1,0,0,0,0,0,0,0,3.960010305517031,0.1353889122392737,1,1
7.600902459542082,1,1.0,6.543911845564792,0,0,0,0,0,0,0,0,0,0,2.103067950611081,0.0336239327580389,1,3
