rent,beds,baths,sqft,date_available,date_scraped,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,car_charging,roof,concierge,pool,elevator,garage,dogs_allowed,cats_allowed,income_restrictions,latitude,longitude,zipcode,dishwasher,price/sqft,dist_seattle,dist_transit,zipcode_cluster_id,neighborhood
680.0,1,0.5,162.0,2022-07-02,2022-04-10,0,0,1,0,0,0,0,0,0,0,0,1,0,47.66035,-122.32315,98105,1,4.197530864197531,3.9325192983549515,0.12295856269755062,3.0,Wallingford
645.0,0,1.0,148.0,2022-04-10,2022-04-10,0,0,0,1,0,0,0,0,1,0,0,0,0,47.59817,-122.32547,98104,0,4.358108108108108,0.605872428730368,0.07546373118442548,5.0,International District
645.0,0,1.0,146.0,2022-04-10,2022-04-10,0,0,0,1,0,0,0,0,1,0,0,0,0,47.59817,-122.32547,98104,0,4.417808219178082,0.605872428730368,0.07546373118442548,5.0,International District
645.0,0,1.0,115.0,2022-04-10,2022-04-10,0,0,0,1,0,0,0,0,1,0,0,0,0,47.59817,-122.32547,98104,0,5.608695652173913,0.605872428730368,0.07546373118442548,5.0,International District
900.0,0,0.0,174.0,2022-05-19,2022-04-10,0,0,0,1,0,0,0,0,0,0,0,0,0,47.66393,-122.30623,98105,0,5.172413793103448,4.353582349026926,0.07626782385383778,3.0,University District
925.0,0,0.0,200.0,2022-07-06,2022-04-10,0,0,0,1,0,0,0,0,0,0,0,0,0,47.66393,-122.30623,98105,0,4.625,4.353582349026926,0.07626782385383778,3.0,University District
750.0,0,0.0,150.0,2022-05-05,2022-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,47.66393,-122.30623,98105,0,5.0,4.353582349026926,0.07626782385383778,3.0,University District
850.0,0,0.0,147.0,2022-05-05,2022-04-10,0,0,0,1,0,0,0,0,0,0,0,0,0,47.66393,-122.30623,98105,0,5.782312925170068,4.353582349026926,0.07626782385383778,3.0,University District
925.0,0,0.0,170.0,2022-04-10,2022-04-10,0,0,0,1,0,0,0,0,0,0,0,0,0,47.66393,-122.30623,98105,0,5.4411764705882355,4.353582349026926,0.07626782385383778,3.0,University District
1110.0,1,1.0,560.0,2022-04-10,2022-04-10,1,0,0,1,0,1,0,0,1,0,1,1,1,47.55039,-122.28654,98118,0,1.9821428571428572,4.343273288884581,0.08657906304236523,1.0,Columbia City
915.0,0,1.0,350.0,2022-04-10,2022-04-10,1,0,0,1,0,1,0,0,1,0,1,1,1,47.55039,-122.28654,98118,0,2.6142857142857143,4.343273288884581,0.08657906304236523,1.0,Columbia City
922.5,0,1.0,184.0,2022-04-10,2022-04-10,0,0,0,1,0,0,0,0,0,0,0,0,0,47.56438,-122.37539,98126,0,5.013586956521739,3.3185281363151473,0.06511133303994973,2.0,Fairmount Park
952.0,0,0.0,435.0,2022-04-06,2022-04-06,0,0,0,1,0,1,0,0,1,0,0,0,0,47.61378,-122.33981,98121,0,2.188505747126437,0.7086455444803745,0.0565335013838727,5.0,Belltown
1550.0,2,2.0,945.0,2022-04-06,2022-04-06,0,0,0,1,0,1,0,0,1,0,0,0,0,47.61378,-122.33981,98121,0,1.6402116402116402,0.7086455444803745,0.0565335013838727,5.0,Belltown
1340.0,1,1.0,515.0,2022-04-06,2022-04-06,0,0,0,1,0,1,0,0,1,0,0,0,0,47.61378,-122.33981,98121,0,2.6019417475728157,0.7086455444803745,0.0565335013838727,5.0,Belltown
1269.0,1,1.0,480.0,2022-04-06,2022-04-06,0,0,0,1,0,1,0,0,1,0,0,0,0,47.61378,-122.33981,98121,0,2.64375,0.7086455444803745,0.0565335013838727,5.0,Belltown
1212.0,1,1.0,485.0,2022-04-12,2022-04-06,0,0,0,1,0,1,0,0,1,0,0,0,0,47.61378,-122.33981,98121,0,2.4989690721649485,0.7086455444803745,0.0565335013838727,5.0,Belltown
