rent,beds,baths,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,car_charging,roof,concierge,pool,elevator,garage,dogs_allowed,cats_allowed,income_restrictions,dishwasher,price/sqft,dist_seattle,dist_transit,cluster_id
680.0,1,0.5,162.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4.197530864197531,3.9325192983549515,0.12295856269755062,2
645.0,0,1.0,148.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.358108108108108,0.605872428730368,0.07546373118442548,22
645.0,0,1.0,146.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.417808219178082,0.605872428730368,0.07546373118442548,22
645.0,0,1.0,115.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5.608695652173913,0.605872428730368,0.07546373118442548,22
900.0,0,0.0,174.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.172413793103448,4.353582349026926,0.07626782385383778,4
925.0,0,0.0,200.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.625,4.353582349026926,0.07626782385383778,4
750.0,0,0.0,150.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,4.353582349026926,0.07626782385383778,4
850.0,0,0.0,147.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.782312925170068,4.353582349026926,0.07626782385383778,4
925.0,0,0.0,170.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.4411764705882355,4.353582349026926,0.07626782385383778,4
1110.0,1,1.0,560.0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1.9821428571428572,4.343273288884581,0.08657906304236523,21
915.0,0,1.0,350.0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,2.6142857142857143,4.343273288884581,0.08657906304236523,21
922.5,0,1.0,184.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.013586956521739,3.3185281363151473,0.06511133303994973,11
973.0,0,0.0,435.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2.2367816091954023,0.7086455444803745,0.0565335013838727,20
1597.0,2,2.0,945.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1.6899470899470899,0.7086455444803745,0.0565335013838727,20
1340.0,1,1.0,515.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2.6019417475728157,0.7086455444803745,0.0565335013838727,20
1269.0,1,1.0,480.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2.64375,0.7086455444803745,0.0565335013838727,20
1212.0,1,1.0,485.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2.4989690721649485,0.7086455444803745,0.0565335013838727,20
1419.0,2,2.0,830.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1.7096385542168675,0.7086455444803745,0.0565335013838727,20
1500.0,1,1.0,600.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2.5,0.7086455444803745,0.0565335013838727,20
987.5,0,1.0,425.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2.323529411764706,0.7086455444803745,0.0565335013838727,20
825.0,0,0.0,138.0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,5.978260869565218,5.04664873305495,0.16402373030713857,16
850.0,0,0.0,149.0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,5.704697986577181,5.04664873305495,0.16402373030713857,16
900.0,0,0.0,180.0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,5.0,5.04664873305495,0.16402373030713857,16
950.0,0,0.0,170.0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,5.588235294117647,5.04664873305495,0.16402373030713857,16
1025.0,0,0.0,212.0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,4.834905660377358,5.04664873305495,0.16402373030713857,16
900.0,0,0.0,159.0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,5.660377358490566,5.04664873305495,0.16402373030713857,16
1150.0,0,0.0,205.0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,5.609756097560975,5.04664873305495,0.16402373030713857,16
1325.0,0,1.0,316.0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,4.193037974683544,1.6521871281636646,0.04913572496108149,24
945.0,0,1.0,196.0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,4.821428571428571,1.6521871281636646,0.04913572496108149,24
925.0,1,1.0,169.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.4733727810650885,1.899257579506425,0.03618795801102051,24
800.0,1,0.5,181.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4.419889502762431,7.808582808489424,0.13147740280574824,17
750.0,1,0.5,180.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4.166666666666667,2.037379185475388,0.060860175003236816,15
850.0,1,1.0,300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.8333333333333335,7.785825786631486,0.12965935144436266,7
875.0,1,1.0,300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.9166666666666665,7.785825786631486,0.12965935144436266,7
900.0,1,1.0,300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.0,7.785825786631486,0.12965935144436266,7
900.0,0,0.0,190.0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,4.7368421052631575,1.262859345226376,0.13832731141491184,14
950.0,0,0.0,228.0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,4.166666666666667,1.262859345226376,0.13832731141491184,14
950.0,0,0.0,228.0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,4.166666666666667,1.262859345226376,0.13832731141491184,14
750.0,0,0.0,130.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,5.769230769230769,0.72548454952965,0.05789141994776175,5
1205.0,0,0.0,182.0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,6.6208791208791204,1.0492818656678258,0.03683420779913228,23
1325.0,0,0.0,222.0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,5.968468468468468,1.0492818656678258,0.03683420779913228,23
1595.0,0,0.0,288.0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,5.538194444444445,1.0492818656678258,0.03683420779913228,23
1025.0,0,0.0,168.0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,6.101190476190476,1.0492818656678258,0.03683420779913228,23
1100.0,0,0.0,256.0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,4.296875,1.0492818656678258,0.03683420779913228,23
1350.0,0,0.0,265.0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,5.09433962264151,4.830720429385861,0.04101424752756132,4
1325.0,0,0.0,246.0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,5.3861788617886175,4.830720429385861,0.04101424752756132,4
1300.0,0,0.0,208.0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,6.25,4.830720429385861,0.04101424752756132,4
1100.0,0,0.0,169.0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,6.508875739644971,4.830720429385861,0.04101424752756132,4
1500.0,0,0.0,303.0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,4.9504950495049505,4.830720429385861,0.04101424752756132,4
1057.0,0,0.0,233.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,4.536480686695279,0.3721153663249479,0.09963494175543144,22
1047.0,0,0.0,233.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,4.493562231759657,0.3721153663249479,0.09963494175543144,22
1073.0,0,0.0,313.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3.428115015974441,0.3721153663249479,0.09963494175543144,22
1028.0,0,0.0,236.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,4.3559322033898304,0.3721153663249479,0.09963494175543144,22
1254.0,0,0.0,315.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3.980952380952381,0.3721153663249479,0.09963494175543144,22
1054.0,0,0.0,236.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,4.466101694915254,0.3721153663249479,0.09963494175543144,22
1028.0,0,0.0,263.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3.908745247148289,0.3721153663249479,0.09963494175543144,22
1195.0,0,0.0,313.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3.817891373801917,0.3721153663249479,0.09963494175543144,22
1145.0,0,0.0,202.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,5.6683168316831685,6.149355705775471,0.0518812310257078,4
1199.0,0,0.0,183.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,6.551912568306011,6.149355705775471,0.0518812310257078,4
1159.0,0,0.0,183.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,6.333333333333333,6.149355705775471,0.0518812310257078,4
1115.0,0,0.0,201.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,5.54726368159204,6.149355705775471,0.0518812310257078,4
1199.0,0,0.0,235.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,5.102127659574468,6.149355705775471,0.0518812310257078,4
